what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068616563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068629494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068704280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068714556
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1620068724532
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1620068724959
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1620068725260
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1620068725583
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1620068725889
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1620068726180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1620068727188
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1620068731203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1620068734412
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620068738921
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1620068753755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068754408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068779593
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1620068796304
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1620068805191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068816768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068819591
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1620068826619
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1620068840442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068840847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068841019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068843820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068844074
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1620068844108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068851507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068854437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068861320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068864931
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1620068864955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068866957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068881539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1620068886149
